SL,Permutation,Accuracy,Metrics
7,Misleading Content,0.056,"Classification Report:
              precision    recall  f1-score   support

           0       0.19      0.28      0.22       131
           1       0.64      0.32      0.43       121
           2       0.35      0.06      0.10       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.17       500
   macro avg       0.24      0.13      0.15       500
weighted avg       0.29      0.17      0.19       500"
,TRUE,0.282,
,Satire,0.322,
,Imposter Content,0,
8,Misleading Content,0.04,"Classification Report:
              precision    recall  f1-score   support

           0       0.24      0.39      0.29       131
           1       0.54      0.55      0.54       121
           2       0.50      0.04      0.07       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.24       500
   macro avg       0.26      0.20      0.18       500
weighted avg       0.32      0.24      0.23       500"
,TRUE,0.389,
,Imposter Content,0,
,Satire,0.545,
9,Misleading Content,0.032,"Classification Report:
              precision    recall  f1-score   support

           0       0.19      0.27      0.23       131
           1       0.51      0.75      0.61       121
           2       0.36      0.03      0.06       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.26       500
   macro avg       0.21      0.21      0.18       500
weighted avg       0.26      0.26      0.22       500"
,Imposter Content,0,
,TRUE,0.275,
,Satire,0.752,
10,Misleading Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.48      0.63      0.54       131
           1       0.70      0.47      0.56       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.28       500
   macro avg       0.23      0.22      0.22       500
weighted avg       0.29      0.28      0.28       500"
,Imposter Content,0,
,Satire,0.471,
,TRUE,0.278,
11,Misleading Content,0.04,"Classification Report:
              precision    recall  f1-score   support

           0       0.42      0.53      0.47       131
           1       0.64      0.35      0.45       121
           2       0.45      0.04      0.07       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.23       500
   macro avg       0.30      0.18      0.20       500
weighted avg       0.38      0.23      0.25       500"
,Satire,0.347,
,Imposter Content,0,
,TRUE,0.527,
12,Misleading Content,0.065,"Classification Report:
              precision    recall  f1-score   support

           0       0.50      0.40      0.45       131
           1       0.60      0.25      0.35       121
           2       0.53      0.06      0.12       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.18       500
   macro avg       0.33      0.14      0.18       500
weighted avg       0.41      0.18      0.23       500
"
,Satire,0.248,
,TRUE,0.405,
,Imposter Content,0,
13,Satire,0.802,"Classification Report:
              precision    recall  f1-score   support

           0       0.48      0.21      0.29       131
           1       0.37      0.80      0.50       121
           2       0.33      0.01      0.02       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.25       500
   macro avg       0.24      0.20      0.16       500
weighted avg       0.30      0.25      0.20       500"
,Misleading Content,0.008,
,TRUE,0.206,
,Imposter Content,0,
14,Satire,0.826,"Classification Report:
              precision    recall  f1-score   support

           0       0.49      0.16      0.24       131
           1       0.38      0.83      0.52       121
           2       0.33      0.01      0.02       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.24       500
   macro avg       0.24      0.20      0.15       500
weighted avg       0.30      0.24      0.19       500"
,Misleading Content,0.008,
,Imposter Content,0,
,TRUE,0.16,
15,Satire,0.86,"Classification Report:
              precision    recall  f1-score   support

           0       0.63      0.20      0.30       131
           1       0.39      0.86      0.53       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.26       500
   macro avg       0.20      0.21      0.17       500
weighted avg       0.26      0.26      0.21       500"
,Imposter Content,0,
,Misleading Content,0,
,TRUE,0.198,
16,Satire,0.851,"Classification Report:
              precision    recall  f1-score   support

           0       0.46      0.14      0.21       131
           1       0.37      0.85      0.52       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.24       500
   macro avg       0.17      0.20      0.15       500
weighted avg       0.21      0.24      0.18       500"
,Imposter Content,0,
,TRUE,0.137,
,Misleading Content,0,
17,Satire,0.769,"Classification Report:
              precision    recall  f1-score   support

           0       0.48      0.28      0.36       131
           1       0.37      0.77      0.50       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.26       500
   macro avg       0.17      0.21      0.17       500
weighted avg       0.22      0.26      0.21       500"
,TRUE,0.282,
,Imposter Content,0,
,Misleading Content,0,
18,Satire,0.719,"Classification Report:
              precision    recall  f1-score   support

           0       0.42      0.24      0.30       131
           1       0.34      0.72      0.46       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.24       500
   macro avg       0.15      0.19      0.15       500
weighted avg       0.19      0.24      0.19       500"
,TRUE,0.237,
,Misleading Content,0,
,Imposter Content,0,
19,Imposter Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.44      0.24      0.31       131
           1       0.44      0.23      0.30       121
           2       0.00      0.00      0.00       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.12       500
   macro avg       0.17      0.09      0.12       500
weighted avg       0.22      0.12      0.15       500"
,Satire,0.231,
,TRUE,0.237,
,Misleading Content,0,
20,Imposter Content,1,"Classification Report:
              precision    recall  f1-score   support

           0       0.56      0.29      0.38       131
           1       0.48      0.48      0.48       121
           2       0.00      0.00      0.00       124
           3       0.49      1.00      0.66       124
           4       0.00      0.00      0.00         0

    accuracy                           0.44       500
   macro avg       0.31      0.35      0.30       500
weighted avg       0.38      0.44      0.38       500"
,Satire,0.479,
,Misleading Content,0,
,TRUE,0.29,
21,Imposter Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.54      0.42      0.47       131
           1       0.74      0.40      0.52       121
           2       0.26      0.05      0.08       124
           3       0.00      0.00      0.00       124
           4       0.00      0.00      0.00         0

    accuracy                           0.22       500
   macro avg       0.31      0.17      0.21       500
weighted avg       0.39      0.22      0.27       500"
,Misleading Content,0.048,
,Satire,0.397,
,TRUE,0.42,
22,Imposter Content,1,"Classification Report:
              precision    recall  f1-score   support

           0       0.61      0.27      0.38       131
           1       0.55      0.59      0.57       121
           2       0.22      0.02      0.03       124
           3       0.49      1.00      0.66       124
           4       0.00      0.00      0.00         0

    accuracy                           0.47       500
   macro avg       0.38      0.38      0.33       500
weighted avg       0.47      0.47      0.41       500"
,Misleading Content,0.016,
,TRUE,0.275,
,Satire,0.587,
23,Imposter Content,1,"Classification Report:
              precision    recall  f1-score   support

           0       0.52      0.08      0.14       131
           1       0.62      0.33      0.43       121
           2       0.00      0.00      0.00       124
           3       0.34      1.00      0.51       124
           4       0.00      0.00      0.00         0

    accuracy                           0.35       500
   macro avg       0.30      0.28      0.22       500
weighted avg       0.37      0.35      0.27       500
"
,TRUE,0.084,
,Misleading Content,0,
,Satire,0.331,
24,Imposter Content,1,"Classification Report:
              precision    recall  f1-score   support

           0       0.56      0.15      0.23       131
           1       0.53      0.50      0.51       121
           2       0.00      0.00      0.00       124
           3       0.42      1.00      0.59       124
           4       0.00      0.00      0.00         0

    accuracy                           0.41       500
   macro avg       0.30      0.33      0.27       500
weighted avg       0.38      0.41      0.33       500"
,TRUE,0.145,
,Satire,0.504,
,Misleading Content,0,
