SL,Permutation,Accuracy,Metrics-Colab,
5,TRUE,0.748,"Classification Report:
              precision    recall  f1-score   support

           0       0.55      0.63      0.59       107
           1       0.79      0.54      0.64       100
           2       0.28      0.30      0.29        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.37       400
   macro avg       0.33      0.29      0.30       400
weighted avg       0.41      0.37      0.39       400",
,Misleading Content,0.194,,
,Imposter Content,0,,
,Satire,0.56,,
6,TRUE,0.682,"Classification Report:
              precision    recall  f1-score   support

           0       0.31      0.68      0.43       107
           1       0.84      0.56      0.67       100
           2       0.31      0.31      0.31        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.40       400
   macro avg       0.29      0.31      0.28       400
weighted avg       0.37      0.40      0.36       400",
,Misleading Content,0.312,,
,Satire,0.56,,
,Imposter Content,0,,
7,Misleading Content,0.108,"Classification Report:
              precision    recall  f1-score   support

           0       0.55      0.71      0.62       107
           1       0.65      0.72      0.69       100
           2       0.22      0.11      0.14        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.40       400
   macro avg       0.28      0.31      0.29       400
weighted avg       0.36      0.40      0.37       400",
,TRUE,0.71,,
,Satire,0.72,,
,Imposter Content,0,,
8,Misleading Content,0.129,"Classification Report:
              precision    recall  f1-score   support

           0       0.52      0.83      0.64       107
           1       0.84      0.52      0.64       100
           2       0.19      0.13      0.15        93
           3       0.96      1.00      0.98       100
           4       0.00      0.00      0.00         0

    accuracy                           0.63       400
   macro avg       0.50      0.50      0.48       400
weighted avg       0.63      0.63      0.61       400",
,TRUE,0.832,,
,Imposter Content,1,,
,Satire,0.52,,
9,Misleading Content,1.08,"Classification Report:
              precision    recall  f1-score   support

           0       0.53      0.83      0.64       107
           1       0.79      0.61      0.69       100
           2       0.21      0.11      0.14        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.40       400
   macro avg       0.31      0.31      0.30       400
weighted avg       0.39      0.40      0.38       400",
,Imposter Content,0,,
,TRUE,0.832,,
,Satire,0.61,,
10,Misleading Content,0.054,"Classification Report:
              precision    recall  f1-score   support

           0       0.49      0.93      0.64       107
           1       0.34      0.55      0.42       100
           2       0.17      0.05      0.08        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.40       400
   macro avg       0.20      0.31      0.23       400
weighted avg       0.25      0.40      0.29       400",
,Imposter Content,0,,
,Satire,0.55,,
,TRUE,0.925,,
11,Misleading Content,0.065,"Classification Report:
              precision    recall  f1-score   support

           0       0.50      0.86      0.63       107
           1       0.36      0.64      0.46       100
           2       0.18      0.06      0.09        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.41       400
   macro avg       0.21      0.31      0.24       400
weighted avg       0.26      0.41      0.31       400",
,Satire,0.64,,
,Imposter Content,0,,
,TRUE,0.86,,
12,Misleading Content,0.097,"Classification Report:
              precision    recall  f1-score   support

           0       0.49      0.88      0.63       107
           1       0.33      0.54      0.41       100
           2       0.20      0.10      0.13        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.39       400
   macro avg       0.21      0.30      0.24       400
weighted avg       0.26      0.39      0.30       400",
,Satire,0.54,,
,TRUE,0.879,,
,Imposter Content,0,,
13,Satire,0.77,"Classification Report:
              precision    recall  f1-score   support

           0       0.55      0.82      0.66       107
           1       0.39      0.77      0.51       100
           2       0.25      0.10      0.14        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.43       400
   macro avg       0.24      0.34      0.26       400
weighted avg       0.30      0.43      0.34       400",
,Misleading Content,0.097,,
,TRUE,0.822,,
,Imposter Content,0,,
14,Satire,0.57,"Classification Report:
              precision    recall  f1-score   support

           0       0.52      0.79      0.63       107
           1       0.77      0.57      0.66       100
           2       0.19      0.12      0.15        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.38       400
   macro avg       0.30      0.30      0.29       400
weighted avg       0.38      0.38      0.37       400",
,Misleading Content,0.118,,
,Imposter Content,0,,
,TRUE,0.794,,
15,Satire,0.67,"Classification Report:
              precision    recall  f1-score   support

           0       0.55      0.77      0.64       107
           1       0.78      0.67      0.72       100
           2       0.20      0.12      0.15        93
           3       0.93      1.00      0.96       100
           4       0.00      0.00      0.00         0

    accuracy                           0.65       400
   macro avg       0.49      0.51      0.49       400
weighted avg       0.62      0.65      0.63       400",
,Imposter Content,1,,
,Misleading Content,0.118,,
,TRUE,0.766,,
16,Satire,0.52,"Classification Report:
              precision    recall  f1-score   support

           0       0.55      0.73      0.63       107
           1       0.78      0.52      0.62       100
           2       0.26      0.16      0.20        93
           3       0.78      1.00      0.88       100
           4       0.00      0.00      0.00         0

    accuracy                           0.61       400
   macro avg       0.47      0.48      0.47       400
weighted avg       0.60      0.61      0.59       400",
,Imposter Content,1,,
,TRUE,0.729,,
,Misleading Content,0.161,,
17,Satire,0.48,"Classification Report:
              precision    recall  f1-score   support

           0       0.54      0.73      0.62       107
           1       0.76      0.48      0.59       100
           2       0.24      0.22      0.22        93
           3       0.93      1.00      0.97       100

    accuracy                           0.61       400
   macro avg       0.62      0.61      0.60       400
weighted avg       0.62      0.61      0.61       400",
,TRUE,0.729,,
,Imposter Content,1,,
,Misleading Content,0.215,,
18,Satire,0.57,"Classification Report:
              precision    recall  f1-score   support

           0       0.32      0.84      0.47       107
           1       0.81      0.57      0.67       100
           2       0.20      0.11      0.14        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.39       400
   macro avg       0.27      0.30      0.26       400
weighted avg       0.34      0.39      0.33       400",
,TRUE,0.841,,
,Misleading Content,0.108,,
,Imposter Content,0,,
19,Imposter Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.52      0.81      0.64       107
           1       0.79      0.44      0.56       100
           2       0.16      0.11      0.13        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.35       400
   macro avg       0.29      0.27      0.27       400
weighted avg       0.37      0.35      0.34       400",
,Satire,0.44,,
,TRUE,0.813,,
,Misleading Content,0.108,,
20,Imposter Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.55      0.81      0.66       107
           1       0.79      0.60      0.68       100
           2       0.24      0.16      0.19        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.41       400
   macro avg       0.32      0.31      0.31       400
weighted avg       0.40      0.41      0.39       400",
,Satire,0.6,,
,Misleading Content,0.161,,
,TRUE,0.813,,
21,Imposter Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.51      0.85      0.64       107
           1       0.86      0.62      0.72       100
           2       0.23      0.10      0.14        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.41       400
   macro avg       0.32      0.31      0.30       400
weighted avg       0.40      0.41      0.38       400",
,Misleading Content,0.097,,
,Satire,0.62,,
,TRUE,0.85,,
22,Imposter Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.54      0.75      0.62       107
           1       0.81      0.56      0.66       100
           2       0.29      0.19      0.23        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.38       400
   macro avg       0.33      0.30      0.30       400
weighted avg       0.41      0.39      0.39       400",
,Misleading Content,0.194,,
,TRUE,0.748,,
,Satire,0.56,,
23,Imposter Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.56      0.77      0.65       107
           1       0.81      0.26      0.39       100
           2       0.24      0.27      0.25        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.33       400
   macro avg       0.32      0.26      0.26       400
weighted avg       0.41      0.33      0.33       400",
,TRUE,0.766,,
,Misleading Content,0.269,,
,Satire,0.26,,
24,Imposter Content,0,"Classification Report:
              precision    recall  f1-score   support

           0       0.57      0.71      0.63       107
           1       0.77      0.53      0.63       100
           2       0.26      0.25      0.25        93
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00         0

    accuracy                           0.38       400
   macro avg       0.32      0.30      0.30       400
weighted avg       0.40      0.38      0.38       400",
,TRUE,0.71,,
,Satire,0.53,,
,Misleading Content,0.247,,
